Date,High,Low,Open,Close,Volume,Adj Close
2020-03-09,278.0899963378906,263.0,263.75,266.1700134277344,71686200,266.1700134277344
2020-03-10,286.44000244140625,269.3699951171875,277.1400146484375,285.3399963378906,71322500,285.3399963378906
2020-03-11,281.2200012207031,271.8599853515625,277.3900146484375,275.42999267578125,63899700,275.42999267578125
2020-03-12,270.0,248.0,255.94000244140625,248.22999572753906,104618500,248.22999572753906
2020-03-13,279.9200134277344,252.9499969482422,264.8900146484375,277.9700012207031,92683000,277.9700012207031
2020-03-16,259.0799865722656,240.0,241.9499969482422,242.2100067138672,80605900,242.2100067138672
2020-03-17,257.6099853515625,238.39999389648438,247.50999450683594,252.86000061035156,81014000,252.86000061035156
2020-03-18,250.0,237.1199951171875,239.77000427246094,246.6699981689453,75058400,246.6699981689453
2020-03-19,252.83999633789062,242.61000061035156,247.38999938964844,244.77999877929688,67964300,244.77999877929688
2020-03-20,251.8300018310547,228.0,247.17999267578125,229.24000549316406,100423300,229.24000549316406
2020-03-23,228.5,212.61000061035156,228.0800018310547,224.3699951171875,84188200,224.3699951171875
2020-03-24,247.69000244140625,234.3000030517578,236.36000061035156,246.8800048828125,71882800,246.8800048828125
2020-03-25,258.25,244.3000030517578,250.75,245.52000427246094,75900500,245.52000427246094
2020-03-26,258.67999267578125,246.36000061035156,246.52000427246094,258.44000244140625,63021800,258.44000244140625
2020-03-27,255.8699951171875,247.0500030517578,252.75,247.74000549316406,51054200,247.74000549316406
2020-03-30,255.52000427246094,249.39999389648438,250.74000549316406,254.80999755859375,41994100,254.80999755859375
2020-03-31,262.489990234375,252.0,255.60000610351562,254.2899932861328,49250500,254.2899932861328
2020-04-01,248.72000122070312,239.1300048828125,246.5,240.91000366210938,44054600,240.91000366210938
2020-04-02,245.14999389648438,236.89999389648438,240.33999633789062,244.92999267578125,41483500,244.92999267578125
2020-04-03,245.6999969482422,238.97000122070312,242.8000030517578,241.41000366210938,32470000,241.41000366210938
2020-04-06,263.1099853515625,249.3800048828125,250.89999389648438,262.4700012207031,50455100,262.4700012207031
2020-04-07,271.70001220703125,259.0,270.79998779296875,259.42999267578125,50721800,259.42999267578125
2020-04-08,267.3699951171875,261.2300109863281,262.739990234375,266.07000732421875,42223800,266.07000732421875
2020-04-09,270.07000732421875,264.70001220703125,268.70001220703125,267.989990234375,40529100,267.989990234375
